codigo,tipo,descricao,cidade,estado,data,ano,hora,aeronave_liberada,status_investigacao,aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_tipo,aeronave_fabricante,motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_fase_operacao,aeronave_nivel_dano
40107,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,GURUPÁ,PA,2010-01-12,2010,14:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,7,1977,BRASIL,POUSO,LEVE
40147,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,UNIÃO DA VITÓRIA,PR,2010-04-08,2010,14:20:00,SIM,FINALIZADA,1,SIM,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,6,1997,BRASIL,POUSO,SUBSTANCIAL
40148,ACIDENTE,PANE SECA,CAMPO GRANDE,MS,2010-03-19,2010,19:30:00,SIM,FINALIZADA,1,NÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,6,1962,BRASIL,APROXIMAÇÃO FINAL,SUBSTANCIAL
40149,ACIDENTE,FALHA DO MOTOR EM VOO,LUZIÂNIA,GO,2010-03-21,2010,20:45:00,SIM,FINALIZADA,1,NÃO,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,2,1974,BRASIL,DECOLAGEM,DESTRUÍDA
40150,INCIDENTE GRAVE,COM TREM DE POUSO,SANTA MARIA,RS,2010-03-10,2010,17:20:00,SIM,FINALIZADA,1,NÃO,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,6,1974,BRASIL,POUSO,LEVE
40168,INCIDENTE,FALHA DO MOTOR EM VOO,MONTES CLAROS,MG,2010-03-17,2010,01:34:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,DASSAULT AVIATION,JATO,BIMOTOR,9,1975,BRASIL,CRUZEIRO,NENHUM
40170,INCIDENTE,ESTOURO DE PNEU,MANAUS,AM,2010-03-20,2010,11:00:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,MCDONNELL DOUGLAS,JATO,TRIMOTOR,7,1975,BRASIL,CORRIDA APÓS POUSO,NENHUM
40171,ACIDENTE,FALHA DO MOTOR EM VOO,PORTO NACIONAL,TO,2010-04-07,2010,18:45:00,SIM,FINALIZADA,1,NÃO,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,2,1991,BRASIL,DECOLAGEM,SUBSTANCIAL
40190,INCIDENTE,OUTROS,RIO DE JANEIRO,RJ,2010-04-06,2010,02:35:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,FOKKER,JATO,BIMOTOR,107,1993,BRASIL,TÁXI,NENHUM
40207,INCIDENTE,TRÁFEGO AÉREO,CRUZEIRO DO SUL,AC,2010-02-06,2010,22:30:00,INDETERMINADO,INDETERMINADA,1,NÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,6,1989,BRASIL,POUSO,NENHUM
